scenario name,program,bug revision,fix revision, minutes between bug rev and fix rev,files edited,lines added or changed,lines deleted or changed,Bug report priority,Security related?,Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,Bug management links,Bug type,Additional bug detail,
php-bug-2011-01-18-b5e12bd4da-163b3bcec9,php,b5e12bd4da,163b3bcec9,388,1,41,11,No information regarding priority in bug report,No,No,No,No,Yes,Yes,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=39771,Feature request,make DOMDocument::saveHTML accept optional DOMNodes; consistent with spec in XML processing,
php-bug-2011-01-23-bc049ccb62-a6c0a4e474,php,bc049ccb62,a6c0a4e474,155,1,2,2,No information regarding priority in bug report,No,No,No,Yes,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=52063,Fatal error of unspecified type,DataTime constructor fix; didn't have a null default value,
php-bug-2011-01-24-a6c0a4e474-1a8b87d2c5,php,a6c0a4e474,1a8b87d2c5,76,1,38,30,No information regarding priority in bug report,No,No,No,No,Yes,No,No,Yes,Yes,No,https://bugs.php.net/bug.php?id=5273,Incorrect behavior,Couldn't use properties in classes extended from DateInterval,
php-bug-2011-01-29-147382033a-5bb0a44e06,php,147382033a,5bb0a44e06,1273,1,14,2,No information regarding priority in bug report,No,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=52808,Segfault,better bug fix as compared to previous fix,
php-bug-2011-01-30-5bb0a44e06-1e91069eb4,php,5bb0a44e06,1e91069eb4,83,1,1,0,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=52290,Incorrect behavior or incorrect output,Bug in setTime when DateTime created from timestamp,
php-bug-2011-02-01-01745fa657-1f49902999,php,01745fa657,1f49902999,204,1,1,0,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=53903,Incorrect behavior or incorrect output,,
php-bug-2011-02-01-1f49902999-f2329f1f4b,php,1f49902999,f2329f1f4b,823,1,7,2,No information regarding priority in bug report,No,No,No,Yes,No,No,No,No,No,Yes,https://bugs.php.net/bug.php?id=53915,Incorrect behavior; Fatal error,,
php-bug-2011-02-01-fefe9fc5c7-0927309852,php,fefe9fc5c7,0927309852,3,1,1,1,No information regarding priority in bug report,No,No,No,Yes,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=53898,Invalid error message in exceptional situation,,
php-bug-2011-02-04-793cfe1376-109b8e99e0,php,793cfe1376,109b8e99e0,589,1,14,2,No information regarding priority in bug report,No,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=53924,Incorrect behavior; incorrect validation,,
php-bug-2011-02-05-c50b3d7add-426f31e790,php,c50b3d7add,426f31e790,554,1,16,10,,,No,No,No,Yes,Yes,Yes,Yes,No,No,,Bounds checking; incorrect validation,Port numbers should be constrained to be greater than 0 or less than 65535,XX double check test? Maybe?
php-bug-2011-02-11-f912a2d087-b84967d3e2,php,f912a2d087,b84967d3e2,696,1,3,1,No information regarding priority in bug report,No,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=53971,Spurious runtime error,,
php-bug-2011-02-14-86efc8e55e-d1d61ce612,php,86efc8e55e,d1d61ce612,86,1,9,13,No information regarding priority in bug report,No,No,No,No,Yes,No,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=54016,incorrect output,finfo_file could not determine filetype in archives,XX maybe check that the mime content type test should be included
php-bug-2011-02-16-eb0dd2b8ab-9bbc114b59,php,eb0dd2b8ab,9bbc114b59,468,1,52,0,No information regarding priority in bug report,No,No,No,No,Yes,Yes,No,Yes,No,No,https://bugs.php.net/bug.php?id=53888,Feature request,add stream truncation,
php-bug-2011-02-19-356b619487-a3a5157286,php,356b619487,a3a5157286,39,4,44,10,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,,Signedness fixes; Incorrect output,stream functionality,
php-bug-2011-02-21-2a6968e43a-ecb9d8019c,php,2a6968e43a,ecb9d8019c,75,1,2,1,No information regarding priority in bug report,No,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=54058,Incorrect behavior in exceptional situation,json encoding,
php-bug-2011-02-21-b21f62eb2d-2a6968e43a,php,b21f62eb2d,2a6968e43a,80,2,8,8,No information regarding priority in bug report,No,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54055,Buffer overrun; Segfault,,
php-bug-2011-02-27-e65d361fde-1d984a7ffd,php,e65d361fde,1d984a7ffd,1134,1,4,0,No information regarding priority in bug report,No,No,No,No,No,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54089,Incorrect behavior,,
php-bug-2011-03-11-d890ece3fc-6e74d95f34,php,d890ece3fc,6e74d95f34,1241,1,4,0,No information regarding priority in bug report,No,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54180,Incorrect behavior or incorrect output,URL parsing,x maybe check run tests? Weird.
php-bug-2011-03-19-5d0c948296-8deb11c0c3,php,5d0c948296,8deb11c0c3,144,1,5,1,No information regarding priority in bug report,No,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54291,Crash; Segfault,Improper handling of strings starting with null character (specifically for directory names),
php-bug-2011-03-20-2034e14341-7f2937223d,php,2034e14341,7f2937223d,283,2,10,5,,,No,No,Yes,Yes,Yes,No,No,Yes,No,,Segfault; revert previous bug fix; memory management,Reverts fix for bug 24557,
php-bug-2011-03-22-0de2e61cab-991ba13174,php,0de2e61cab,991ba13174,468,1,2,4,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=54340,Incorrect behavior or incorrect output,Date Time behavior,
php-bug-2011-03-23-63673a533f-2adf58cfcf,php,63673a533f,2adf58cfcf,30,1,1,1,Bug report is marked private. No Bug report data available.,Yes,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=54283,Crash; Segfault; Fatal error of unspecified type,Constructor (in php) with null argument --> crash,
php-bug-2011-03-25-8138f7de40-3acdca4703,php,8138f7de40,3acdca4703,377,1,1,1,Bug report is marked private. No Bug report data available.,Yes,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=54395,Crash; Segfault; Fatal error of unspecified type,,
php-bug-2011-03-26-3acdca4703-c2fe893985,php,3acdca4703,c2fe893985,,3,211,7,No information regarding priority in bug report,,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=54384,Segfault; incorrect behavior or incorrect output,,
php-bug-2011-03-27-11efb7295e-f7b7b6aa9e,php,11efb7295e,f7b7b6aa9e,139,2,33,32,No information regarding priority in bug report,No,No,Yes,Yes,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54384,Fatal error of unspecified type,,
php-bug-2011-03-27-2191af9546-b83e243c23,php,2191af9546,b83e243c23,118,1,143,0,,,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,Feature add,two new php classes,
php-bug-2011-04-02-70075bc84c-5a8c917c37,php,70075bc84c,5a8c917c37,353,1,0,4,No information regarding priority in bug report,No,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=54454,Incorrect behavior or incorrect output,,
php-bug-2011-04-06-187eb235fe-2e25ec9eb7,php,187eb235fe,2e25ec9eb7,192,1,5,1,No information regarding priority in bug report,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=54372,Feature request,memory management,
php-bug-2011-04-06-18d71a6f59-187eb235fe,php,18d71a6f59,187eb235fe,,1,7,0,No information regarding priority in bug report,,No,No,Yes,No,No,Yes,No,No,No,https://bugs.php.net/bug.php?id=54459,Incorrect behavior or incorrect output,,
php-bug-2011-04-07-77ed819430-efcb9a71cd,php,77ed819430,efcb9a71cd,1149,1,1,0,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=54358  https://bugs.php.net/bug.php?id=54039,Incorrect behavior or incorrect output,,
php-bug-2011-04-07-d3274b7f20-77ed819430,php,d3274b7f20,77ed819430,18,1,28,1,Bug report is marked private. No Bug report data available.,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,https://bugs.php.net/bug.php?id=54323,Crash; Segfault; Fatal error of unspecified type,,
php-bug-2011-04-08-efcb9a71cd-6f3148db81,php,efcb9a71cd,6f3148db81,1430,2,21,12,,,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,Feature modification,add an optional argument to debug output functions; limit amount of output,
php-bug-2011-04-09-db01e840c2-09b990f499,php,db01e840c2,09b990f499,93,1,2,4,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=54440,Incorrect behavior or incorrect output,,
php-bug-2011-04-12-465ffa7fa2-c4a8866abb,php,465ffa7fa2,c4a8866abb,719,1,63,26,No information regarding priority in bug report,No,No,No,Yes,Yes,No,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=54238,Use after free; crash; segfault,,
php-bug-2011-04-19-11941b3fd2-821d7169d9,php,11941b3fd2,821d7169d9,902,1,1,0,No information regarding priority in bug report,No,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=54367,Incorrect behavior or incorrect output,,
php-bug-2011-04-27-53204a26d2-118695a4ea,php,53204a26d2,118695a4ea,905,1,14,8,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Feature add,,
php-bug-2011-04-30-9c285fddbb-93f65cdeac,php,9c285fddbb,93f65cdeac,458,1,26,3,No information regarding priority in bug report,No,No,No,No,Yes,No,Yes,Yes,Yes,No,https://bugs.php.net/bug.php?id=54623,Segfault,,
php-bug-2011-05-13-db0c957f02-8ba00176f1,php,db0c957f02,8ba00176f1,397,1,12,7,,,No,No,No,No,Yes,No,No,No,No,,Incorrect behavior or incorrect output,,
php-bug-2011-05-17-453c954f8a-daecb2c0f4,php,453c954f8a,daecb2c0f4,1003,1,1,1,,,No,No,No,No,No,No,No,No,No,,Not available,,XX needs attention
php-bug-2011-05-21-f5a9e17f9c-964f44a280,php,f5a9e17f9c,964f44a280,96,1,1,1,,No,No,No,Yes,No,No,No,No,No,No,,Not available,,
php-bug-2011-05-24-b60f6774dc-1056c57fa9,php,b60f6774dc,1056c57fa9,296,1,2,2,No information regarding priority in bug report,No,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=26862  https://bugs.php.net/bug.php?id=54727,Incorrect behavior or incorrect output,,
php-bug-2011-10-15-0a1cc5f01c-05c5c8958e,php,0a1cc5f01c,05c5c8958e,36,1,1,1,,,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=55754,Incorrect behavior or incorrect output; incorrect warning output,,
php-bug-2011-10-16-1f78177e2b-d4ae4e79db,php,1f78177e2b,d4ae4e79db,1250,1,1,1,,,No,No,Yes,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=55543,Incorrect behavior or incorrect output,,
php-bug-2011-10-30-c1a4a36c14-5921e73a37,php,c1a4a36c14,5921e73a37,1146,1,4,1,,,No,No,Yes,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60174,Spurious error,,
php-bug-2011-10-31-2e5d5e5ac6-b5f15ef561,php,2e5d5e5ac6,b5f15ef561,100,1,6,0,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60145,Incorrect behavior; incorrect validation; fatal error of unspecified type,,
php-bug-2011-10-31-c4eb5f2387-2e5d5e5ac6,php,c4eb5f2387,2e5d5e5ac6,130,1,3,1,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60173,Incorrect behavior in exceptional situation; incorrect error message,,
php-bug-2011-11-01-735efbdd04-e0f781f496,php,735efbdd04,e0f781f496,540,3,189,228,,,No,No,No,Yes,Yes,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=60139,Memory leak,Cycles not detected by GC,
php-bug-2011-11-01-ceac9dc490-9b0d73af1d,php,ceac9dc490,9b0d73af1d,36,1,6,0,,,No,No,No,Yes,No,No,No,No,No,,Incorrect behavior; missing consistency check; improper validation,,
php-bug-2011-11-01-d2881adcbc-4591498df7,php,d2881adcbc,4591498df7,9,1,17,8,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60153,Should raise error but doesn't,,
php-bug-2011-11-02-c1d520d19d-9b86852d6e,php,c1d520d19d,9b86852d6e,145,1,1,0,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=60201,Feature request; modification to match spec; incorrect behavior or incorrect output,,
php-bug-2011-11-02-de50e98a07-8d520d6296,php,de50e98a07,8d520d6296,239,1,1,1,,,No,No,No,No,No,No,No,No,No,,Segfault,Many tests addressed,
php-bug-2011-11-04-9da01ac6b6-7334dfd7eb,php,9da01ac6b6,7334dfd7eb,393,1,32,19,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60217,Fatal error of unspecified type; incorrect behavior or incorrect output,,
php-bug-2011-11-05-7888715e73-ff48763f4b,php,7888715e73,ff48763f4b,1235,1,1907,1803,,,No,No,No,No,Yes,No,No,No,No,,Feature add,,
php-bug-2011-11-08-0ac9b9b0ae-cacf363957,php,0ac9b9b0ae,cacf363957,216,1,2,2,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60104,Segfault,,
php-bug-2011-11-08-6a42b41c3d-5063a77128,php,6a42b41c3d,5063a77128,24,1,26,6,,,No,No,No,Yes,No,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=54089,Incorrect behavior or incorrect output; spurious warning,,
php-bug-2011-11-08-c3e56a152c-3598185a74,php,c3e56a152c,3598185a74,530,1,13,6,,,No,No,No,No,Yes,Yes,No,No,No,https://bugs.php.net/bug.php?id=55475,Incorrect behavior or incorrect output,,
php-bug-2011-11-11-fcbfbea8d2-c1e510aea8,php,fcbfbea8d2,c1e510aea8,168,1,4,1,,,No,No,No,Yes,Yes,No,Yes,No,No,https://bugs.php.net/bug.php?id=60261,Null pointer,,
php-bug-2011-11-15-236120d80e-fb37f3b20d,php,236120d80e,fb37f3b20d,103,1,1,1,,,No,No,No,Yes,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=52674,Incorrect behavior or incorrect output; spurious warning,,
php-bug-2011-11-15-2568672691-13ba2da5f6,php,2568672691,13ba2da5f6,47,1,2,2,,,No,No,No,Yes,No,No,No,No,No,https://bugs.php.net/bug.php?id=55371,Incorrect behavior or incorrect output; spurious warning,,
php-bug-2011-11-16-55acfdf7bd-3c7a573a2c,php,55acfdf7bd,3c7a573a2c,58,1,5,0,,,No,No,No,Yes,No,No,Yes,No,No,https://bugs.php.net/bug.php?id=60099,Should raise error but doesn't,,
php-bug-2011-11-19-51a4ae6576-bc810a443d,php,51a4ae6576,bc810a443d,12,1,2,1,,,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=43200,Incorrect behavior; feature modification,,
php-bug-2011-11-19-eeba0b5681-d3b20b4058,php,eeba0b5681,d3b20b4058,1181,1,2,2,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60164,Fatal error of unspecified type; incorrect behavior or incorrect output,,XX come back to me
php-bug-2011-11-19-eeba0b5681-f330c8ab4e,php,eeba0b5681,f330c8ab4e,661,1,1,1,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=60164,Buffer overflow,,
php-bug-2011-11-22-ecc6c335c5-b548293b99,php,ecc6c335c5,b548293b99,101,1,2,0,,,No,No,No,Yes,Yes,No,Yes,No,No,https://bugs.php.net/bug.php?id=60357,Incorrect behavior or incorrect output; Raises a notice,,
php-bug-2011-11-23-eca88d3064-db0888dfc1,php,eca88d3064,db0888dfc1,3,1,3,2,,,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=60369,Crash; Segfault,,
php-bug-2011-11-25-3b1ce022f1-c2ede9a00a,php,3b1ce022f1,c2ede9a00a,4,1,153,130,,,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=54597,Incorrect behavior or incorrect output,Note that the log message gives the wrong bug report #,
php-bug-2011-11-26-7c2946f80e-dc6ecd21ee,php,7c2946f80e,dc6ecd21ee,108,1,36,9,,,No,No,No,Yes,No,Yes,Yes,No,No,https://bugs.php.net/bug.php?id=54851,Incorrect behavior or incorrect output,,
php-bug-2011-12-04-1e6a82a1cf-dfa08dc325,php,1e6a82a1cf,dfa08dc325,138,1,1,1,,,No,No,No,No,No,No,No,No,No,https://bugs.php.net/bug.php?id=55478,Incorrect behavior or incorrect output,,
php-bug-2011-12-04-b3ad0b7af7-1d6c98a136,php,b3ad0b7af7,1d6c98a136,993,1,5,5,,,No,No,Yes,No,No,Yes,No,No,No,https://bugs.php.net/bug.php?id=60444,Segfault,,
php-bug-2011-12-06-5087b0ee42-ac631dd580,php,5087b0ee42,ac631dd580,13,3,107,34,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=51994;  https://bugs.php.net/bug.php?id=52113,Segfault; incorrect behavior or incorrect output,commit addresses multiple defects; the two test cases implicated correspond to the two bug types in the previous column,
php-bug-2011-12-10-74343ca506-52c36e60c4,php,74343ca506,52c36e60c4,1383,1,2,3,,,No,No,No,No,Yes,No,No,No,No,https://bugs.php.net/bug.php?id=60455,Incorrect behavior or incorrect output,,
php-bug-2011-12-17-db63456a8d-3dc9f0abe6,php,db63456a8d,3dc9f0abe6,629,1,35,30,,,No,No,No,Yes,No,Yes,Yes,No,No,,Incorrect behavior or incorrect output; spurious warning,,
